"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"262","Normal/Others","WS/MP18226/2025-2026/233357-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Gram Panchayat Sikandrapur Gurudwara Shri Guru Singh Sabha Sikandrapur Amkota.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"263","Normal/Others","WS/MP18226/2025-2026/233358-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the mosque in village Hazratpur of Gram Panchayat Hazratpur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"264","Normal/Others","WS/MP18226/2025-2026/233359-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the Durga Devi temple in the village Gadarianpurwa of the Gram Panchayat Tetarpur","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"265","Normal/Others","WS/MP18226/2025-2026/233362-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Masjid Quba in Hajipurwa of Gram Panchayat Odarhana","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"266","Normal/Others","WS/MP18226/2025-2026/233363-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Murari Giri in Gram Panchayat Laukhiya","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"267","Normal/Others","WS/MP18226/2025-2026/233360-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the Shiva temple in Rampurwa village of Gram Panchayat Narhar","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"268","Normal/Others","WS/MP18226/2025-2026/234498-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Shri Gurunanak Dev Ji Gurudwara in Village Panchayat Safipur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"269","Normal/Others","WS/MP18226/2025-2026/234503-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Dinesh Bhargava in Gram Pipra gram Panchayat Baraula.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"270","Normal/Others","WS/MP18226/2025-2026/233361-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Masjid Rasidiya in Hajipurwa of Gram Panchayat Odarhana.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","172306"
"271","Normal/Others","WS/MP18226/2025-2026/234504-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Raunak in Gram Panchayat Basaigapur Bazar","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"272","Normal/Others","WS/MP18226/2025-2026/234499-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Ambedkar Park in village Balwapur of Gram Panchayat Pipra Marora","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"273","Normal/Others","WS/MP18226/2025-2026/234500-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the old Jama Masjid in Gram Panchayat Aggar Khurd","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"274","Normal/Others","WS/MP18226/2025-2026/234501-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Qadri Masjid in Gram Panchayat Aggar Khurd","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"275","Normal/Others","WS/MP18226/2025-2026/234502-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the masjid in Gram Panchayat Ramnagar Khurd","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"276","Normal/Others","WS/MP18226/2025-2026/252457-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Musepur kala Me Masjid ke Samane 01 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"277","Normal/Others","WS/MP18226/2025-2026/252458-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Musepur kala ke Bhudpurwa Me Mata ji ke Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"278","Normal/Others","WS/MP18226/2025-2026/252459-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Gopalapur me Shivdevi Vidhya Mandir Intercolleg ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"279","Normal/Others","WS/MP18226/2025-2026/252461-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Gopalapur me Ganw ke Paschim Jidbaba Sthan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"280","Normal/Others","WS/MP18226/2025-2026/252462-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Panchay Salempur Koun me Sadashiv Verma ki dukan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"281","Normal/Others","WS/MP18226/2025-2026/252463-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Panchayt Sarkhanpur me Badi Masjid ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"282","Normal/Others","WS/MP18226/2025-2026/252466-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Kadipur me Masjid ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"283","Normal/Others","WS/MP18226/2025-2026/252464-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Panchayt Sarkhanpur me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"284","Normal/Others","WS/MP18226/2025-2026/252467-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Mahmmadpur Mahewa me Shiv Mandir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"285","Normal/Others","WS/MP18226/2025-2026/252465-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Gopalpur ke Diya ratanpurwa me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"286","Normal/Others","WS/MP18226/2025-2026/252474-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Rajapur ke Piparia me Mata ji ke Madir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"287","Normal/Others","WS/MP18226/2025-2026/252468-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Ekbalpur me Radha Kirshn Mandir (Thakur dwara) ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"288","Normal/Others","WS/MP18226/2025-2026/252469-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Pipr Karam Chand me Durgamata Mandir ke pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"289","Normal/Others","WS/MP18226/2025-2026/252470-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Mahngukhera me Ambedkar Park ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"290","Normal/Others","WS/MP18226/2025-2026/252471-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Chhauchh Ke Mohalla Dr. Kaushal Kishor me Shri Indresh Verma Ke Makan ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"291","Normal/Others","WS/MP18226/2025-2026/252472-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Keshavpur ke Pithwapur me Bhuiaa Mata Mandir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"292","Normal/Others","WS/MP18226/2025-2026/252473-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Banwaripur me Shiv Mandir ke Nikat 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"293","Normal/Others","WS/MP18226/2025-2026/252475-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Saidapur Karanpur me Kasiram ke Makan ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"294","Normal/Others","WS/MP18226/2025-2026/252476-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Saidapur Karanpur ke Sadhauna me Hanuman Mandir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"295","Normal/Others","WS/MP18226/2025-2026/252477-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Murtiha me Masjid ke Samne 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"296","Normal/Others","WS/MP18226/2025-2026/252480-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Rampur Gokul me Manjha Gurudwara ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"297","Normal/Others","WS/MP18226/2025-2026/252479-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Barkherwa ke Aithapur me Gurudwre ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"298","Normal/Others","WS/MP18226/2025-2026/252478-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Barkherwa me Masjid ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"299","Normal/Others","WS/MP18226/2025-2026/252498-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Khambhol me Faruk ke Makan ke  Pass Tirahe par 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"300","Normal/Others","WS/MP18226/2025-2026/252500-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram bijhouli ke Chintapurwa me Shiv Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","29-Jul-2026","156959"
"301","Normal/Others","WS/MP18226/2025-2026/252499-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Behta ke Bargadiya me Bajrangbali Mandir pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"302","Normal/Others","WS/MP18226/2025-2026/252501-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Southan me Masjid ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"303","Normal/Others","WS/MP18226/2025-2026/252503-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Gunchi rajaganj me dhanigawan me sunder lal vishykrma ke makan ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"304","Normal/Others","WS/MP18226/2025-2026/252502-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Southan me Devi Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"305","Normal/Others","WS/MP18226/2025-2026/252504-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Bhalliya Bujurg me Masjid ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"306","Normal/Others","WS/MP18226/2025-2026/252508-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Aman lala me Shiv Mandir ke Pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"307","Normal/Others","WS/MP18226/2025-2026/252509-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Kala Dund me Veer baba ke Sthan ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"308","Normal/Others","WS/MP18226/2025-2026/252507-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Fardahan me Thakur ji Mahraj Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"309","Normal/Others","WS/MP18226/2025-2026/252505-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram jignaha me Mahender Pal ke hata ke Pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"310","Normal/Others","WS/MP18226/2025-2026/252506-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram jaitapur me shiv Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"311","Normal/Others","WS/MP18226/2025-2026/252510-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Mohall Gotaiyabag ki Balmiki Basti me Hanuman Mandir ke Pass  1 semi High Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"312","Normal/Others","WS/MP18226/2025-2026/252513-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Raghunathpurwa e Ramjanki Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"313","Normal/Others","WS/MP18226/2025-2026/252514-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Barter Chaurahe Par Ex Pardhan Munna lal Verma ki dukan Jansewakener ke samne 1 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"314","Normal/Others","WS/MP18226/2025-2026/252515-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Madrahi me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"315","Normal/Others","WS/MP18226/2025-2026/252516-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Siayathu ke Baikuntha me Bich Ganwa chaurahe par 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"316","Normal/Others","WS/MP18226/2025-2026/252517-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Baikuntha me Brahma baba ke Sthan par 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"317","Normal/Others","WS/MP18226/2025-2026/252537-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Amkotwa ke Amkotwapurwa  Chaurahe par 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"318","Normal/Others","WS/MP18226/2025-2026/252538-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Hanumand Mandir Vidhayla ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"319","Normal/Others","WS/MP18226/2025-2026/252539-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Badag Gaon me Chakai me Shiv Mandir ke pass 1 semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"320","Normal/Others","WS/MP18226/2025-2026/252540-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Korraiya Dhara me Durga Mata Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"321","Normal/Others","WS/MP18226/2025-2026/252544-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Chakai me Shri Saroj verma ke Makan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"322","Normal/Others","WS/MP18226/2025-2026/252546-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Atkohna me Majhra Ramlal me Jagdish Prasad Ex Pramukh ke Makan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"323","Normal/Others","WS/MP18226/2025-2026/252547-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Matehi ke Vajirpurwa me Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"324","Normal/Others","WS/MP18226/2025-2026/252543-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Jiganiyan me Siyaram Kanwajia ajodhi prsad ke Makan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"325","Normal/Others","WS/MP18226/2025-2026/252542-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Nizampur Nakti me Hanuman Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"326","Normal/Others","WS/MP18226/2025-2026/252541-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Korraiyapurwa me Shankerji ke Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"327","Normal/Others","WS/MP18226/2025-2026/252548-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Nakaha me jama Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"328","Normal/Others","WS/MP18226/2025-2026/252549-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Nakaha me Daxin Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"329","Normal/Others","WS/MP18226/2025-2026/252550-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Ashogapur ke Kewalpurwa me Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"330","Normal/Others","WS/MP18226/2025-2026/252554-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Sudulhapur me Ambedkar Murti ke 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"331","Normal/Others","WS/MP18226/2025-2026/252565-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Banjriya ke Semraha Purwa me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"332","Normal/Others","WS/MP18226/2025-2026/252566-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Daudpur me devi Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"333","Normal/Others","WS/MP18226/2025-2026/252555-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Korraiya Dhara me Pani ki Tanki ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"334","Normal/Others","WS/MP18226/2025-2026/252556-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Korraiya sanjar me Rinku ki Dairy pe Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"335","Normal/Others","WS/MP18226/2025-2026/252557-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Korraiya Dhara me Ganw ke Bich Bachan singh ke Makan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"336","Normal/Others","WS/MP18226/2025-2026/252558-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Belhaura ke Shivrampurwa me Harishanker ke Makan ke Pass Shivmandir par 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"337","Normal/Others","WS/MP18226/2025-2026/252559-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Nakaha me Shri Panchamukhi Ganesh Mandir ke ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"338","Normal/Others","WS/MP18226/2025-2026/252561-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Katkusma Masjid ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"339","Normal/Others","WS/MP18226/2025-2026/252562-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Amkotwa me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"340","Normal/Others","WS/MP18226/2025-2026/252560-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Gulariya me Shiv mandir ke nikat Shantosh ke Makan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"341","Normal/Others","WS/MP18226/2025-2026/252564-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Pakriya me Budhwa me Bahouri lal nishad ke Makan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"342","Normal/Others","WS/MP18226/2025-2026/252563-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Pakriya me Budhwa me Shrikrshna Bhargaw ke Makan ke  Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"343","Normal/Others","WS/MP18226/2025-2026/252567-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Kotthiya me Satti Mata Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"344","Normal/Others","WS/MP18226/2025-2026/259848-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation of 6th phase semi-high mast lights in Lakhimpur Development Block at 9 different locations as per the attached list.","UTKARSH VERMA MADHUR","KHERI","Images","29-Jul-2026","1412632"
