"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"60","Normal/Others","WS/MP850/2024-2025/105493-Construction of boundary walls of existing public and community buildings","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SARASWATI SHISHU VIDYA MANDIR MAKHTI (POKHRI ) MEIN GATE EVAM BOUDARY WALL KA NIRMAN ... IA( KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","15-Feb-2024","28-Aug-2024","1000000","Physical Inspection"
"61","Normal/Others","WS/MP204/2024-2025/144172-Construction of boundary walls of existing public and community buildings","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Protective wall and leveling in village Bhankoli, Tehsil Bhatwadi","28-Sep-2024","29-Jan-2025","200000","Work Completed"
"62","Normal/Others","WS/MP204/2025-2026/178553-Construction of boundary walls of existing public and community buildings","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Protective wall and net work in Batula Basti Tok of Gram Panchayat Monda, Block Mori, District Uttarkashi","03-Mar-2025","18-Apr-2025","1000000","Physical Inspection"
"63","Normal/Others","WS/MP204/2025-2026/178555-Construction of boundary walls of existing public and community buildings","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Protective wall and net work in Thormolti Tok of Gram Panchayat Monda, Block Mori, District Uttarkashi","03-Mar-2025","18-Apr-2025","1000000","Physical Inspection"
"64","Normal/Others","WS/MP850/2025-2026/184270-Construction of boundary walls of existing public and community buildings","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","laxman chowk police chowki ki bowndary walll ka nirman karya.IA KARYADAI SANSTATHA -NAGAR PALIKA PARISHAD HERBURTPUR","20-Mar-2025","18-Aug-2025","265000","Sanction"
"65","Normal/Others","WS/MP18333/2025-2026/201384-Construction of boundary walls of existing public and community buildings","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Janpad Uttarkashi ke Vikas Khand Gaugoan me gram upradi me Barudkhola tok me reling nirman karya. Kar San- Sichai Avasthapana khand Uttarkashi","20-May-2025","25-Sep-2025","493245","Physical Inspection"
"66","Normal/Others","WS/MP204/2025-2026/234517-Construction of boundary walls of existing public and community buildings","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Front Wall of Canteen or Kitchen at mahatma Jyoti Ba Phule Saini Dharmashala, Roorkee","18-Sep-2025","28-Jan-2026","190000","Sanction"
"67","Normal/Others","WS/MP204/2025-2026/234519-Construction of boundary walls of existing public and community buildings","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of open Verandah attached to the wall at mahatma jyoti Ba Phule Saini Dharmshala Roorkee","18-Sep-2025","28-Jan-2026","410000","Sanction"
"68","Normal/Others","WS/MP850/2026-2027/276620-Construction of boundary walls of existing public and community buildings","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram sartheri mein shamshanghat ki chardiwari ka niram karya.ia(karyadai sanstatha)-block roorkee","30-Mar-2026","15-May-2026","955000","Physical Inspection"
"69","Normal/Others","WS/MP850/2026-2027/280071-Construction of boundary walls of existing public and community buildings","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram maohamadpur panda mein shamshan ghat ki chardiwari ka karya.ia (karyadai sanstatha)-block roorkee","12-May-2026","08-Jul-2026","460000","Sanction"
