"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"64","Normal/Others","WS/MP053/2025-2026/229739-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road from the back gate of kotwali thana to the main building","28-Aug-2025","1298100","12-Sep-2025"
"65","Normal/Others","WS/MP053/2025-2026/229740-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the Garage of kotwali thana to quarters in kotwali thana","28-Aug-2025","1247500","12-Sep-2025"
"66","Normal/Others","WS/MP053/2025-2026/229741-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the Shiv Mandir to the Staff quarters.","28-Aug-2025","1147900","12-Sep-2025"
"67","Normal/Others","WS/MP053/2025-2026/229754-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road from the sampatchak main road to the house of ramesh singh","28-Aug-2025","1498043","12-Sep-2025"
"68","Normal/Others","WS/MP053/2025-2026/229755-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of pcc road in ward 4 lakshmichak tola from the house of prakash jee to the house of Dharmendra jee","28-Aug-2025","1497044","12-Sep-2025"
"69","Normal/Others","WS/MP053/2025-2026/229756-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road in  in ward no.11 varuna village from the house of Sunil jee to the the house of Ramaikbal jee","28-Aug-2025","1496012","12-Sep-2025"
"70","Normal/Others","WS/MP053/2025-2026/229757-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road in ward no.11,Varuna village from the house of Satish Kumar to the house of Chandan Kumar","28-Aug-2025","1495722","12-Sep-2025"
"71","Normal/Others","WS/MP053/2025-2026/229758-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road in Ward no.13 from the house of Sudhir Kumar to the house of Vikki Kumar.","28-Aug-2025","1496908","12-Sep-2025"
"72","Normal/Others","WS/MP053/2025-2026/229767-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC Road in ward no.1 from the house of shashi singh to the house of yugal singh","28-Aug-2025","1495894","12-Sep-2025"
"73","Normal/Others","WS/MP053/2025-2026/229768-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Nagendra jee to the house of sunil jee in ward no. 02","28-Aug-2025","998043","12-Sep-2025"
