"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"652","Normal/Others","WS/MP840/2024-2025/180398-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from Ayinam satyanarayana field to vakalapudi suribabu field at vaddiparru V of atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"653","Normal/Others","WS/MP840/2024-2025/180400-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from vakalapudi suribabu field to Jujjavarapu Umashankar ji field at vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499264","Physical Inspection"
"654","Normal/Others","WS/MP840/2024-2025/180403-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from Jujjavarapu Umashankar ji field to vakalapudi janaki ramana field at vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"655","Normal/Others","WS/MP840/2024-2025/180407-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from vakalapudi Janaki ramana field to Jujjavarapu Prakasam field at vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"656","Normal/Others","WS/MP840/2024-2025/180411-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from Jujjavarapu prakasam field to Ane Satyanarayana field at vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"657","Normal/Others","WS/MP840/2024-2025/180414-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT Road from Ane satyanarayana field to Prattipati Sattiyya field at vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"658","Normal/Others","WS/MP840/2024-2025/180416-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from Prattipati Sattiyya field to Prattipati Satyanarayana field at Vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"659","Normal/Others","WS/MP840/2024-2025/180417-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from Prattipati satyanaarayan field to Yetigattu in Rajakapeta at vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"660","Normal/Others","WS/MP840/2025-2026/206146-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of CC road from main road to community hall near Datta Temple in panchadevpad","03-Jun-2025","25-Jan-2026","1000000","Sanction"
"661","Normal/Others","WS/MP840/2025-2026/206149-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of CC  road North side of community hall near Datta temple in Panchadevpad","03-Jun-2025","25-Jan-2026","1000000","Sanction"
