"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"236","Normal/Others","WS/MP073/2025-2026/273864-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","GOALPARA(Deputy Commissioner Goalpara_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of Road From Himachal Rabha House to bandar Shee at Lela Gaon","12-Mar-2026","17-Mar-2026","2500000","Vendor Identification"
"237","Normal/Others","WS/MP073/2026-2027/273870-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","GOALPARA(Deputy Commissioner Goalpara_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of PWD Road From Kukurkata House to Jagadish Rabha House at Bandar Shee, Lela Gaon","12-Mar-2026","14-May-2026","2500000","Vendor Identification"
"238","Normal/Others","WS/MP073/2026-2027/273872-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","GOALPARA(Deputy Commissioner Goalpara_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of Sand Graveling Road PWD Road Via Jagadish Boro House at Bishnupur Bekhenapara ,Lela Gaon","12-Mar-2026","14-May-2026","2200000","Vendor Identification"
"239","Normal/Others","WS/MP18456/2026-2027/295572-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Road from B.B linked road to Upen Das house at Bamun Baradi, Barpeta,Barpeta  Dev. Block","17-Jul-2026","25-Aug-2026","2500000","Vendor Identification"
"240","Normal/Others","WS/MP831/2024-2025/132563-Construction of culverts and bridges","Assam","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box culvert at No.2 Makelikanda village approached road to Nijdala MB road under Balipara VCDC, Bhergaon.","17-Jun-2024","01-Mar-2025","500000","Physical Inspection"
"241","Normal/Others","WS/MP831/2025-2026/132564-Construction of culverts and bridges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert at Anthaiguri(Silguri) village under Dangtal VCDC, Chirang.","17-Jun-2024","29-May-2025","1800000","Vendor Identification"
"242","Normal/Others","WS/MP831/2024-2025/132572-Construction of culverts and bridges","Assam","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box culvert at Dhupguri village approaching road, Murmela VCDC, Bhegaon.","17-Jun-2024","01-Mar-2025","1000000","Vendor Identification"
"243","Normal/Others","WS/MP831/2024-2025/132574-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert near Supol Kisku House at Chetantola village under west Maligaon VCDC, Kokrajhar.","17-Jun-2024","05-Dec-2024","997580","Physical Inspection"
"244","Normal/Others","WS/MP831/2024-2025/132575-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert at Paddy field road to chetantola Village under Maligaon VCDC, kokrajhar.","17-Jun-2024","05-Dec-2024","499135","Physical Inspection"
"245","Normal/Others","WS/MP831/2024-2025/132578-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert near Mustafa Talukder house at Thuripara village under Devitola VCDC, Parbatjhora.","17-Jun-2024","05-Dec-2024","498272","Physical Inspection"
"246","Normal/Others","WS/MP831/2024-2025/132579-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Box Culvert at  Pansri Dwisa, Borjhora pt- ii village under Monglajora VCDC, Parbatjhora.","17-Jun-2024","18-Oct-2024","499538","Physical Inspection"
"247","Normal/Others","WS/MP831/2024-2025/132580-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of RCC Box Culvert near Rajib's House at Palashguri village under Palashguri VCDC, Parbatjhora.","17-Jun-2024","05-Dec-2024","495955","Physical Inspection"
"248","Normal/Others","WS/MP831/2025-2026/132582-Construction of culverts and bridges","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of RCC Box Culvert at Bathouguri ( Bartari) village under Rufapulli VCDC , Jalah Dev, Block","17-Jun-2024","02-Aug-2025","500000","Physical Inspection"
