"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"533","Normal/Others","WS/MP18364/2025-2026/201272-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Cement Concrete Road.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","01-Sep-2025","4995360"
"534","Normal/Others","WS/MP18364/2025-2026/204268-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Cement Concrete Road.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","01-Sep-2025","4995360"
"535","Normal/Others","WS/MP18364/2025-2026/204269-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Cement Concrete Road.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","01-Sep-2025","4995360"
"536","Trust and Society","WS/MP18364/2025-2026/172649-Construction of buildings for community cultural activities","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of cultural Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","06-Sep-2025","300000"
"537","Normal/Others","WS/MP18364/2025-2026/219968-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Karnataka","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Flood Control Embankments at Rangpo Khola below Premlakha Village under Pakyong District, Sikkim State.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","10-Nov-2025","2498728"
"538","Trust and Society","WS/MP18364/2025-2026/195531-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of School Rooms.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","13-Nov-2025","450000"
"539","Normal/Others","WS/MP18364/2025-2026/149957-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Drain Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","21-Nov-2025","499643"
"540","Normal/Others","WS/MP18364/2025-2026/149959-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Drain Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","21-Nov-2025","499643"
"541","Normal/Others","WS/MP18364/2025-2026/149971-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Drain Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","21-Nov-2025","499643"
"542","Normal/Others","WS/MP18364/2025-2026/149970-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Drain Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","21-Nov-2025","499643"
"543","Normal/Others","WS/MP18364/2025-2026/177908-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of Community Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","16-Dec-2025",""
"544","Normal/Others","WS/MP18364/2025-2026/183008-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of Community Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","14-Jan-2026","499965"
"545","Normal/Others","WS/MP18364/2025-2026/233118-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of Community Hall. At property no.118-1 in Zunjarakoppa village.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","12-Feb-2026","400000"
"546","Normal/Others","WS/MP18364/2025-2026/229946-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of community hall at Property no.138-1 in Hirebadwadagi village of Hunagund taluk.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","10-Mar-2026","375000"
"547","Normal/Others","WS/MP18364/2025-2026/241443-Construction of boundary walls of existing public and community buildings","Karnataka","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Boundary Wall at Government Junior High School, in Pakyong Bazar village, Pakyong district of Sikkim state.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","22-Apr-2026","2498224"
"548","Normal/Others","WS/MP086/2024-2025/152809-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Continued work of construction of library room VGS Elite International School at Bangalore North Taluk, Nagaruru Village, Dasanpura Hobli, Madnayakanahalli post","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","17-Sep-2025","1000000"
"549","Normal/Others","WS/MP086/2025-2026/159592-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Installation of street lights from Koramangala 19th main road to Udupi Sagar Hotel in Bangalore City District, BTM Assembly Constituency.","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499470"
"550","Normal/Others","WS/MP086/2025-2026/159590-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Street light installation work near Koramangala Jyothinivas College under BTM Assembly Constituency, Bengaluru City District.","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499406"
"551","Normal/Others","WS/MP086/2025-2026/159593-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Installation of street lights from Koramangala NJV Main Road to KHB Sports Village in Bangalore City District, BTM Assembly Constituency","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499470"
"552","Normal/Others","WS/MP086/2025-2026/159595-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Street light installation work from Koramangala Good Vibe Venture to PMR Memorial Trust under BTM Assembly Constituency, Bengaluru City District.","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499535"
"553","Normal/Others","WS/MP086/2025-2026/159602-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","BInstallation of street light around Prestige Pine Wood playground at Bangalore City District, Koramangala under BTM Assembly Constituency,","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499470"
"554","Normal/Others","WS/MP086/2025-2026/170914-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of chain link fencing from 13th cross to 13 A cross, Ward no 178, JP nagar 1st phase, Bangalore","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","24-Jun-2025","499567"
