"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"59","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing CC pavement approach road to Mukkulam, in Kottuchery commune Panchayat, Karaikal","17-Dec-2023","850000","NA"
"60","Normal/Others","WS/MP139/2024-2025/103176-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to A-lane at VVP Nagar, in Thattanchavady Constituency","12-Feb-2024","1540526","11-Jun-2024"
"61","Normal/Others","WS/MP139/2024-2025/103177-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing CC road to Raman street and Sundaravinayagar street at Mahatma nagar in Thattanchavady constituency","12-Feb-2024","904645","29-Jul-2024"
"62","Normal/Others","WS/MP139/2025-2026/103178-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to 3rd and 4th cross streets at Subbiah nagar in Thattanchavady constituency","12-Feb-2024","1500000","29-Jul-2025"
"63","Normal/Others","WS/MP139/2024-2025/103179-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Gangaiamman koil street at Thattanchavady in Thattanchavady constituency","12-Feb-2024","3735665","08-Jul-2024"
"64","Normal/Others","WS/MP139/2025-2026/103180-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Saravana Iruppu street, Ponbethy village in Nedungadu Commune Panchayat in Karaikal region","12-Feb-2024","2683495","05-Dec-2025"
"65","Normal/Others","WS/MP139/2026-2027/103181-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Re-metalling and BT road to Kamarajar nagar, Varchikudy in Kottuchery commune Panchayat in Karaikal region","12-Feb-2024","2930185","21-Aug-2026"
"66","Normal/Others","WS/MP139/2023-2024/110203-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing WBM & BT road facilities to Balamurugan nagar in Thengaithittu in Ariankuppam Constituency","20-Feb-2024","2168000","22-Feb-2024"
"67","Normal/Others","WS/MP139/2024-2025/132402-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Internal streets at Thilagar nagar, Thattanchavady constituency, Puducherry.","11-Jun-2024","3524073","12-Jun-2024"
"68","Normal/Others","WS/MP139/2024-2025/132403-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Main roads of Maheswari nagar and Sinthamani nagar in Oulgaret Revenue village in Oulgaret constituency","11-Jun-2024","1361805","12-Jun-2024"
